Exporting country,Importing country,"Oil, metals and mineral products",Seafood products,Wood products
Cook Islands,Australia,0.0,86.0,0.0
Cook Islands,Belarus,0.0,0.0,0.0
Cook Islands,Belgium,0.0,0.0,0.0
Cook Islands,China,0.0,573.0,0.0
Cook Islands,Czech Republic,3.0,0.0,0.0
Cook Islands,France,0.0,0.0,0.0
Cook Islands,Germany,0.0,0.0,0.0
Cook Islands,Indonesia,0.0,23.0,0.0
Cook Islands,Ireland,0.0,0.0,1.0
Cook Islands,Japan,0.0,1809.0,0.0
Cook Islands,Mauritius,14.0,0.0,0.0
Cook Islands,New Zealand,535.0,0.0,1.0
Cook Islands,Republic of Korea,94.0,7.0,0.0
Cook Islands,Tanzania,0.0,0.0,0.0
Cook Islands,Thailand,0.0,1052.0,0.0
Cook Islands,United States,0.0,0.0,0.0
Federated States of Micronesia,China,0.0,14553.0,0.0
Federated States of Micronesia,Colombia,68.0,0.0,0.0
Federated States of Micronesia,Germany,0.0,0.0,0.0
Federated States of Micronesia,Hong Kong,0.0,2.0,0.0
Federated States of Micronesia,Japan,0.0,5688.0,0.0
Federated States of Micronesia,Netherlands,0.0,1.0,0.0
Federated States of Micronesia,Republic of Korea,77.0,307.0,0.0
Federated States of Micronesia,Thailand,0.0,42438.0,0.0
Federated States of Micronesia,United Kingdom,0.0,1.0,0.0
Federated States of Micronesia,United States,0.0,8.0,0.0
Fiji,American Samoa,1515.0,3511.0,0.0
Fiji,Andorra,25.0,0.0,0.0
Fiji,Argentina,0.0,0.0,0.0
Fiji,Australia,2233.0,20.0,1269.0
Fiji,Bangladesh,1867.0,0.0,236.0
Fiji,Belize,0.0,0.0,0.0
Fiji,Bermuda,0.0,2.0,0.0
Fiji,Canada,1.0,56.0,0.0
Fiji,China,54468.0,14009.0,102116.0
Fiji,Czech Republic,0.0,2.0,0.0
Fiji,Dem. Rep. Korea,1287.0,0.0,44.0
Fiji,Democratic Republic of the Congo,0.0,9.0,0.0
Fiji,Denmark,0.0,0.0,0.0
Fiji,Dominica,0.0,0.0,92.0
Fiji,Dominican Republic,0.0,0.0,619.0
Fiji,Estonia,0.0,0.0,0.0
Fiji,Finland,3.0,0.0,0.0
Fiji,France,0.0,547.0,0.0
Fiji,French Polynesia,11.0,0.0,219.0
Fiji,Gabon,12.0,0.0,0.0
Fiji,Germany,0.0,11.0,0.0
Fiji,Guam,10.0,0.0,1.0
